Year	Month	WTIO	SETIO	DMI
2004	7	-0.43	-0.13	-0.30
2004	8	0.02	-0.03	0.05
2004	9	0.02	-0.07	0.09
2004	10	-0.01	-0.03	0.02
2004	11	-0.05	0.02	-0.07
2004	12	-0.04	0.07	-0.11
2005	1	-0.12	0.16	-0.28
2005	2	-0.12	0.68	-0.79
2005	3	-0.05	0.66	-0.71
2005	4	0.06	-0.08	0.13
2005	5	0.14	0.02	0.11
2005	6	0.11	0.27	-0.16
2005	7	-0.22	0.31	-0.52
2005	8	-0.08	0.38	-0.46
2005	9	-0.17	0.56	-0.73
2005	10	-0.23	0.48	-0.71
2005	11	-0.34	0.32	-0.66
2005	12	-0.37	0.09	-0.45
2006	1	-0.33	-0.26	-0.07
2006	2	-0.32	0.36	-0.68
2006	3	-0.19	0.03	-0.22
2006	4	-0.22	-0.15	-0.07
2006	5	-0.07	0.15	-0.22
2006	6	-0.13	0.14	-0.28
2006	7	-0.04	-0.23	0.19
2006	8	0.18	-0.13	0.31
2006	9	0.01	-0.70	0.71
2006	10	0.17	-0.77	0.94
2006	11	0.34	-0.55	0.89
2006	12	0.39	-0.07	0.46
2007	1	0.31	0.05	0.26
2007	2	0.20	0.34	-0.14
2007	3	0.07	-0.12	0.19
2007	4	0.10	-0.05	0.15
2007	5	0.26	-0.16	0.42
2007	6	0.37	0.03	0.34
2007	7	0.27	-0.08	0.36
2007	8	0.27	-0.09	0.36
2007	9	0.08	-0.28	0.36
2007	10	-0.09	-0.13	0.04
2007	11	-0.24	-0.07	-0.17
2007	12	-0.25	0.01	-0.25
2008	1	-0.04	-0.06	0.02
2008	2	-0.39	-0.46	0.07
2008	3	-0.60	-0.70	0.10
2008	4	-0.71	-0.38	-0.33
2008	5	-0.50	-0.66	0.16
2008	6	-0.19	-0.67	0.49
2008	7	-0.00	-0.80	0.79
2008	8	-0.04	-0.46	0.42
2008	9	-0.03	-0.09	0.06
2008	10	-0.10	-0.13	0.03
2008	11	-0.19	-0.02	-0.17
2008	12	-0.27	-0.01	-0.26
2009	1	-0.14	-0.02	-0.13
2009	2	0.02	-0.29	0.31
2009	3	0.21	-0.17	0.39
2009	4	-0.08	-0.04	-0.03
2009	5	0.10	0.23	-0.13
2009	6	0.41	0.41	0.01
2009	7	0.13	0.65	-0.52
2009	8	0.26	0.56	-0.30
2009	9	0.24	0.41	-0.17
2009	10	0.34	0.44	-0.10
2009	11	0.09	0.35	-0.26
2009	12	0.45	0.31	0.14
2010	1	0.47	0.05	0.42
2010	2	0.60	0.43	0.17
2010	3	0.62	0.27	0.35
2010	4	0.60	0.17	0.44
2010	5	0.26	0.47	-0.21
2010	6	0.32	0.46	-0.14
2010	7	0.23	0.39	-0.17
2010	8	0.00	0.35	-0.34
2010	9	-0.21	0.95	-1.16
2010	10	-0.44	0.62	-1.07
2010	11	-0.63	0.36	-0.99
2010	12	-0.52	-0.13	-0.39
2011	1	-0.48	-0.43	-0.05
2011	2	-0.37	-0.34	-0.03
2011	3	-0.24	-0.41	0.17
2011	4	-0.25	-0.26	0.01
2011	5	-0.19	-0.08	-0.11
2011	6	0.09	0.03	0.06
2011	7	0.12	0.16	-0.04
2011	8	0.16	0.13	0.03
2011	9	0.09	-0.27	0.37
2011	10	0.25	-0.21	0.47
2011	11	0.22	0.19	0.03
2011	12	0.30	0.21	0.09
2012	1	0.00	-0.09	0.10
2012	2	-0.22	-0.14	-0.08
2012	3	-0.46	-0.65	0.19
2012	4	-0.26	0.18	-0.44
2012	5	-0.09	0.60	-0.69
2012	6	0.12	0.12	0.00
2012	7	0.18	-0.34	0.51
2012	8	0.47	-0.34	0.82
2012	9	0.38	-0.14	0.52
2012	10	0.31	0.01	0.30
2012	11	0.23	0.18	0.05
2012	12	0.40	0.32	0.09
2013	1	0.23	0.16	0.06
2013	2	0.11	0.20	-0.09
2013	3	0.23	0.26	-0.03
2013	4	0.06	0.22	-0.15
2013	5	-0.32	0.30	-0.62
2013	6	-0.38	0.13	-0.51
2013	7	-0.16	0.19	-0.36
2013	8	-0.14	0.07	-0.22
2013	9	-0.13	0.21	-0.34
2013	10	0.17	0.39	-0.22
2013	11	0.39	0.45	-0.06
2013	12	0.03	0.28	-0.25
2014	1	-0.06	0.09	-0.15
2014	2	-0.11	-0.04	-0.07
2014	3	-0.10	0.34	-0.44
2014	4	-0.00	0.18	-0.19
2014	5	0.20	0.28	-0.08
2014	6	0.15	0.39	-0.24
2014	7	0.02	0.42	-0.40
2014	8	-0.03	0.54	-0.57
2014	9	0.06	0.56	-0.51
2014	10	0.31	0.32	-0.02
2014	11	0.33	0.24	0.09
2014	12	0.13	0.34	-0.21
2015	1	-0.33	0.03	-0.36
2015	2	-0.13	0.16	-0.29
2015	3	0.18	0.23	-0.05
2015	4	0.36	0.20	0.16
2015	5	0.36	0.18	0.17
2015	6	0.48	0.16	0.31
2015	7	0.69	0.23	0.46
2015	8	0.87	0.36	0.51
2015	9	0.95	0.23	0.72
2015	10	0.91	0.40	0.51
2015	11	0.86	0.42	0.44
2015	12	0.90	0.86	0.04
2016	1	0.86	1.08	-0.22
2016	2	0.56	0.96	-0.40
2016	3	0.92	1.16	-0.24
2016	4	0.85	1.06	-0.21
2016	5	0.39	0.92	-0.53
2016	6	-0.05	0.72	-0.76
2016	7	-0.28	0.80	-1.08
2016	8	0.16	0.74	-0.58
2016	9	-0.07	0.88	-0.96
2016	10	-0.07	0.77	-0.84
2016	11	0.09	0.55	-0.46
2016	12	0.10	0.38	-0.28
2017	1	0.00	-0.00	0.01
2017	2	0.05	-0.00	0.05
2017	3	0.13	-0.18	0.31
2017	4	0.17	-0.26	0.43
2017	5	0.36	-0.25	0.61
2017	6	0.29	-0.07	0.36
2017	7	0.54	0.17	0.37
2017	8	0.52	-0.20	0.72
2017	9	0.32	0.13	0.19
2017	10	0.39	0.17	0.22
2017	11	0.42	0.21	0.21
2017	12	0.02	0.16	-0.14
2018	1	-0.14	-0.30	0.17
2018	2	0.20	-0.30	0.49
2018	3	0.09	0.01	0.08
2018	4	0.15	0.10	0.05
2018	5	0.03	-0.11	0.14
2018	6	-0.08	-0.14	0.06
2018	7	0.01	-0.31	0.33
2018	8	0.15	-0.21	0.36
2018	9	0.32	-0.35	0.67
2018	10	0.22	-0.14	0.36
2018	11	0.48	0.01	0.46
2018	12	0.46	0.05	0.41
2019	1	0.43	0.28	0.15
2019	2	0.25	0.31	-0.06
2019	3	0.21	0.18	0.03
2019	4	0.46	0.16	0.30
2019	5	0.68	-0.15	0.83
2019	6	0.55	-0.33	0.88
2019	7	0.52	-0.28	0.80
2019	8	0.71	-0.70	1.42
2019	9	0.48	-0.90	1.38
2019	10	0.65	-1.13	1.78
2019	11	0.80	-0.98	1.78
2019	12	0.64	-0.18	0.82
2020	1	0.78	0.59	0.18
2020	2	0.45	0.66	-0.21
2020	3	0.50	0.62	-0.12
2020	4	0.53	0.61	-0.08
2020	5	0.57	0.18	0.39
2020	6	0.58	0.00	0.57
2020	7	0.54	0.18	0.36
2020	8	0.29	0.45	-0.16
2020	9	0.04	0.36	-0.32
2020	10	0.24	0.28	-0.04
2020	11	0.22	0.15	0.07
2020	12	0.14	-0.05	0.18
2021	1	-0.29	-0.56	0.26
2021	2	-0.21	-0.38	0.18
2021	3	-0.01	-0.11	0.10
2021	4	-0.02	-0.31	0.28
2021	5	-0.29	0.04	-0.33
2021	6	-0.12	0.35	-0.47
2021	7	0.07	0.55	-0.48
2021	8	0.07	0.41	-0.34
2021	9	0.15	0.27	-0.13
2021	10	-0.02	0.66	-0.69
2021	11	-0.01	0.37	-0.38
2021	12	0.12	0.32	-0.20
2022	1	0.28	0.55	-0.26
2022	2	-0.10	0.27	-0.37
2022	3	-0.06	0.06	-0.11
2022	4	-0.03	0.34	-0.37
2022	5	-0.12	0.43	-0.55
2022	6	-0.10	0.60	-0.69
2022	7	-0.43	0.63	-1.06
2022	8	-0.37	0.80	-1.17
2022	9	-0.37	0.70	-1.07
2022	10	-0.48	0.49	-0.97
2022	11	-0.38	0.22	-0.59
2022	12	-0.13	-0.04	-0.09
2023	1	-0.16	-0.25	0.09
2023	2	-0.24	-0.56	0.32
2023	3	-0.03	-0.41	0.37
2023	4	0.45	0.08	0.38
2023	5	0.19	0.17	0.02
2023	6	0.22	0.31	-0.08
2023	7	0.36	0.24	0.12
2023	8	0.73	0.02	0.71
2023	9	0.66	-0.18	0.84
2023	10	0.71	-0.74	1.44
2023	11	0.99	-0.52	1.50
2023	12	1.14	-0.07	1.20
2024	1	1.18	0.36	0.82
2024	2	1.22	0.92	0.30
2024	3	0.95	0.41	0.54
2024	4	0.95	0.62	0.33
